track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams(10 million),in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,61.1700552,1275,32,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,113.3865788,6135,38,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4
Somewhere Only We Know,Keane,1,2004,1,1,108.9402494,20015,16,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3
Those Eyes,New West,1,2019,5,10,41.1747614,1507,14,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,25.5932395,539,21,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5
Mi Bello Angel,Natanael Cano,1,2023,6,30,3.1873544,86,8,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5
Bye,Peso Pluma,1,2023,5,26,9.5053634,324,14,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,127.9434863,17138,37,119,81,974,1,503,130,,Major,47,86,92,8,0,5,24
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,23.3801632,894,9,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,148.1349984,1622,9,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,14.2095275,561,14,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,61.8885532,5871,27,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17
Counting Stars,OneRepublic,1,2013,1,1,201.1464183,29215,43,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4
Ghost,Justin Bieber,1,2021,3,19,116.7330737,5866,24,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6
Under The Influence,Chris Brown,1,2019,10,4,92.9964809,3859,26,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,43.6027885,961,26,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5
Gasolina,Daddy Yankee,1,2004,7,13,65.7723613,6457,18,98,95,453,0,454,96,,Major,86,74,80,33,0,8,6
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,271.392235,43257,24,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5
Enchanted,Taylor Swift,1,2010,1,1,62.1660989,4564,16,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3
Save Your Tears,The Weeknd,1,2020,3,20,159.1223784,12688,13,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3
Sure Thing,Miguel,1,2010,5,25,95.0906471,13801,19,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,159.3270737,22439,19,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3
The Night We Met,Lord Huron,1,2015,2,2,141.008883,18515,35,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,123.5005533,36843,21,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4
